NOM_CATEGORIA,NOM_DEST,NOM_MUN,PAGOS
Cuarta,Administración de justicia,AGUACHICA,643441935.0
Cuarta,Administración de justicia,ARAUCA,1284239580.0
Cuarta,Administración de justicia,CARTAGO,584870653.0
Cuarta,Administración de justicia,INÍRIDA,109937549.0
Cuarta,Administración de justicia,IPIALES,592262637.0
Cuarta,Administración de justicia,LA CALERA,809449396.0
Cuarta,Administración de justicia,LETICIA,44536000.0
Cuarta,Administración de justicia,LOS PATIOS,169697927.0
Cuarta,Administración de justicia,MALAMBO,544827516.0
Cuarta,Administración de justicia,MANAURE,304989131.0
Cuarta,Administración de justicia,MARINILLA,291690091.0
Cuarta,Administración de justicia,OCAÑA,541423073.0
Cuarta,Administración de justicia,PITALITO,164298495.0
Cuarta,Administración de justicia,PUERTO BOYACÁ,339867005.0
Cuarta,Administración de justicia,PUERTO CARREÑO,215772000.0
Cuarta,Administración de justicia,PUERTO COLOMBIA,735879884.0
Cuarta,Administración de justicia,RIOHACHA,97777423.0
Cuarta,Administración de justicia,SAN ANDRÉS DE TUMACO,1038826677.0
Cuarta,Administración de justicia,SAN JOSÉ DEL GUAVIARE,140682172.0
Cuarta,Administración de justicia,TURBO,944391336.0
Cuarta,Administración de justicia,URIBIA,3006051097.0
Cuarta,Administración de justicia,VILLA DEL ROSARIO,79414418.0
Cuarta,Agua potable y Saneamiento básico,AGUACHICA,2590026746.0
Cuarta,Agua potable y Saneamiento básico,ARAUCA,14773608251.0
Cuarta,Agua potable y Saneamiento básico,BARBOSA,3227464609.0
Cuarta,Agua potable y Saneamiento básico,CARTAGO,2295807873.0
Cuarta,Agua potable y Saneamiento básico,EL CARMEN DE VIBORAL,764962143.0
Cuarta,Agua potable y Saneamiento básico,EL CERRITO,2617859666.0
Cuarta,Agua potable y Saneamiento básico,FLORENCIA,8296701152.0
Cuarta,Agua potable y Saneamiento básico,INÍRIDA,4371656588.0
Cuarta,Agua potable y Saneamiento básico,IPIALES,1726672495.0
Cuarta,Agua potable y Saneamiento básico,JAMUNDÍ,1297128427.0
Cuarta,Agua potable y Saneamiento básico,LA CALERA,926852098.0
Cuarta,Agua potable y Saneamiento básico,LA DORADA,1591558616.0
Cuarta,Agua potable y Saneamiento básico,LA JAGUA DE IBIRICO,1568375832.0
Cuarta,Agua potable y Saneamiento básico,LETICIA,5987271604.0
Cuarta,Agua potable y Saneamiento básico,LOS PATIOS,965491629.0
Cuarta,Agua potable y Saneamiento básico,MAICAO,7523379647.0
Cuarta,Agua potable y Saneamiento básico,MALAMBO,4803748038.0
Cuarta,Agua potable y Saneamiento básico,MANAURE,8267478835.0
Cuarta,Agua potable y Saneamiento básico,MARINILLA,7165355700.0
Cuarta,Agua potable y Saneamiento básico,MELGAR,1376457676.0
Cuarta,Agua potable y Saneamiento básico,MITÚ,3617847070.0
Cuarta,Agua potable y Saneamiento básico,MOCOA,2776365012.0
Cuarta,Agua potable y Saneamiento básico,OCAÑA,3065737255.0
Cuarta,Agua potable y Saneamiento básico,PITALITO,4867213489.0
Cuarta,Agua potable y Saneamiento básico,PUERTO BOYACÁ,2342627306.0
Cuarta,Agua potable y Saneamiento básico,PUERTO CARREÑO,1926239323.0
Cuarta,Agua potable y Saneamiento básico,PUERTO COLOMBIA,1939017422.0
Cuarta,Agua potable y Saneamiento básico,PUERTO GAITÁN,3922350309.0
Cuarta,Agua potable y Saneamiento básico,PUERTO LÓPEZ,3509601982.0
Cuarta,Agua potable y Saneamiento básico,QUIBDÓ,8270437634.0
Cuarta,Agua potable y Saneamiento básico,RETIRO,1973002178.0
Cuarta,Agua potable y Saneamiento básico,RIOHACHA,31851150672.0
Cuarta,Agua potable y Saneamiento básico,SAN ANDRÉS DE TUMACO,9843608309.0
Cuarta,Agua potable y Saneamiento básico,SAN GIL,1119251157.0
Cuarta,Agua potable y Saneamiento básico,SAN JOSÉ DEL GUAVIARE,68620314.0
Cuarta,Agua potable y Saneamiento básico,SIBATÉ,1034657109.0
Cuarta,Agua potable y Saneamiento básico,TURBO,7201677410.0
Cuarta,Agua potable y Saneamiento básico,URIBIA,16296602436.0
Cuarta,Agua potable y Saneamiento básico,VILLA DEL ROSARIO,2261999342.0
Cuarta,Atención a desastres,AGUACHICA,294145819.0
Cuarta,Atención a desastres,ARAUCA,1594605149.0
Cuarta,Atención a desastres,BARBOSA,1887053090.0
Cuarta,Atención a desastres,CARTAGO,929275001.0
Cuarta,Atención a desastres,EL CARMEN DE VIBORAL,738685103.0
Cuarta,Atención a desastres,EL CERRITO,404272057.0
Cuarta,Atención a desastres,FLORENCIA,141000000.0
Cuarta,Atención a desastres,INÍRIDA,240336436.0
Cuarta,Atención a desastres,IPIALES,832054467.0
Cuarta,Atención a desastres,JAMUNDÍ,254173344.0
Cuarta,Atención a desastres,LA CALERA,335548789.0
Cuarta,Atención a desastres,LA DORADA,628419966.0
Cuarta,Atención a desastres,LA JAGUA DE IBIRICO,451045926.0
Cuarta,Atención a desastres,LETICIA,234720459.0
Cuarta,Atención a desastres,LOS PATIOS,341598876.0
Cuarta,Atención a desastres,MAICAO,545502651.0
Cuarta,Atención a desastres,MALAMBO,131000000.0
Cuarta,Atención a desastres,MANAURE,139705509.0
Cuarta,Atención a desastres,MARINILLA,495656749.0
Cuarta,Atención a desastres,MELGAR,832820662.0
Cuarta,Atención a desastres,MITÚ,87992897.0
Cuarta,Atención a desastres,MOCOA,1469721144.0
Cuarta,Atención a desastres,OCAÑA,488874482.0
Cuarta,Atención a desastres,PITALITO,594522500.0
Cuarta,Atención a desastres,PUERTO BOYACÁ,442929803.0
Cuarta,Atención a desastres,PUERTO CARREÑO,231676400.0
Cuarta,Atención a desastres,PUERTO COLOMBIA,1217981763.0
Cuarta,Atención a desastres,PUERTO GAITÁN,459582348.0
Cuarta,Atención a desastres,PUERTO LÓPEZ,946733428.0
Cuarta,Atención a desastres,QUIBDÓ,257438630.0
Cuarta,Atención a desastres,RETIRO,116389839.0
Cuarta,Atención a desastres,RIOHACHA,451738646.0
Cuarta,Atención a desastres,SAN ANDRÉS DE TUMACO,356397790.0
Cuarta,Atención a desastres,SAN GIL,700180348.0
Cuarta,Atención a desastres,SAN JOSÉ DEL GUAVIARE,153048964.0
Cuarta,Atención a desastres,SIBATÉ,147694910.0
Cuarta,Atención a desastres,URIBIA,645566932.0
