NOM_CATEGORIA,NOM_DEST,NOM_MUN,PAGOS
Especial,Administración de justicia,"BOGOTÁ, D.C.",89106726753.0
Especial,Administración de justicia,CALI,34841372457.0
Especial,Administración de justicia,CARTAGENA DE INDIAS,2352456473.0
Especial,Administración de justicia,MEDELLÍN,62933506164.0
Especial,Agua potable y Saneamiento básico,BARRANQUILLA,266649880752.0
Especial,Agua potable y Saneamiento básico,"BOGOTÁ, D.C.",453637106118.0
Especial,Agua potable y Saneamiento básico,CALI,224796288058.0
Especial,Agua potable y Saneamiento básico,CARTAGENA DE INDIAS,26541147452.0
Especial,Agua potable y Saneamiento básico,MEDELLÍN,224020672386.0
Especial,Atención a desastres,BARRANQUILLA,12955370730.0
Especial,Atención a desastres,"BOGOTÁ, D.C.",77723380859.0
Especial,Atención a desastres,CALI,41962297043.0
Especial,Atención a desastres,CARTAGENA DE INDIAS,92776378088.0
Especial,Atención a desastres,MEDELLÍN,23420356436.0
Especial,Atención a grupos vulnerables,BARRANQUILLA,40754817960.0
Especial,Atención a grupos vulnerables,"BOGOTÁ, D.C.",794345337148.0
Especial,Atención a grupos vulnerables,CALI,14495484791.0
Especial,Atención a grupos vulnerables,CARTAGENA DE INDIAS,59355947752.0
Especial,Atención a grupos vulnerables,MEDELLÍN,255122666295.0
Especial,Ciencia y tenología,"BOGOTÁ, D.C.",11325446634.0
Especial,Ciencia y tenología,CARTAGENA DE INDIAS,1719126666.0
Especial,Ciencia y tenología,MEDELLÍN,864152737.0
Especial,Comunicaciones,"BOGOTÁ, D.C.",29308153109.0
Especial,Comunicaciones,CARTAGENA DE INDIAS,24731782239.0
Especial,Comunicaciones,MEDELLÍN,44011048790.0
Especial,Cultura,BARRANQUILLA,25011814610.0
Especial,Cultura,"BOGOTÁ, D.C.",275171524569.0
Especial,Cultura,CALI,80311284327.0
Especial,Cultura,CARTAGENA DE INDIAS,8927200824.0
Especial,Cultura,MEDELLÍN,194806369826.0
Especial,Defensa y seguridad,BARRANQUILLA,42527546132.0
Especial,Defensa y seguridad,"BOGOTÁ, D.C.",223465627168.0
Especial,Defensa y seguridad,CALI,22530830642.0
Especial,Defensa y seguridad,CARTAGENA DE INDIAS,8987217599.0
Especial,Defensa y seguridad,MEDELLÍN,252318095533.0
Especial,Deporte y Recreación,BARRANQUILLA,129734823817.0
Especial,Deporte y Recreación,"BOGOTÁ, D.C.",233123970514.0
Especial,Deporte y Recreación,CALI,69671135422.0
Especial,Deporte y Recreación,CARTAGENA DE INDIAS,16796443969.0
Especial,Deporte y Recreación,MEDELLÍN,289247510977.0
Especial,"Desarrollo comunitario, comercial e industrial","BOGOTÁ, D.C.",108639606886.0
Especial,"Desarrollo comunitario, comercial e industrial",CALI,230059351083.0
Especial,"Desarrollo comunitario, comercial e industrial",CARTAGENA DE INDIAS,30800078682.0
Especial,"Desarrollo comunitario, comercial e industrial",MEDELLÍN,176641216533.0
Especial,Educación,BARRANQUILLA,593389250467.0
Especial,Educación,"BOGOTÁ, D.C.",4167209826600.0
Especial,Educación,CALI,1366813557693.0
Especial,Educación,CARTAGENA DE INDIAS,416661654869.0
Especial,Educación,MEDELLÍN,2691641149606.0
Especial,Fortalecimiento institucional,BARRANQUILLA,456583382764.0
Especial,Fortalecimiento institucional,"BOGOTÁ, D.C.",172662875727.0
Especial,Fortalecimiento institucional,CALI,199402303160.0
Especial,Fortalecimiento institucional,CARTAGENA DE INDIAS,21157117387.0
Especial,Fortalecimiento institucional,MEDELLÍN,305885066475.0
Especial,Funcionamiento y pensiones,BARRANQUILLA,286821525147.0
Especial,Funcionamiento y pensiones,"BOGOTÁ, D.C.",2704589673852.0
Especial,Funcionamiento y pensiones,CALI,608094103875.0
Especial,Funcionamiento y pensiones,CARTAGENA DE INDIAS,245549339286.0
Especial,Funcionamiento y pensiones,MEDELLÍN,1499110388236.0
