NOM_CATEGORIA,NOM_DEST,NOM_MUN,PAGOS
NO APLICA,Administración de justicia,MEDELLÍN,2868285120.0
NO APLICA,Administración de justicia,RIONEGRO,1128468659.0
NO APLICA,Administración de justicia,SAN LUIS,19820000.0
NO APLICA,Administración de justicia,VILLAVICENCIO,1603204106.0
NO APLICA,Agua potable y Saneamiento básico,ABEJORRAL,1677942509.0
NO APLICA,Agua potable y Saneamiento básico,ACACÍAS,11983700377.0
NO APLICA,Agua potable y Saneamiento básico,ACEVEDO,1147867994.0
NO APLICA,Agua potable y Saneamiento básico,AGUA DE DIOS,48801338.0
NO APLICA,Agua potable y Saneamiento básico,AGUACHICA,1809233414.0
NO APLICA,Agua potable y Saneamiento básico,AGUAZUL,5485904650.0
NO APLICA,Agua potable y Saneamiento básico,AIPE,54118146.0
NO APLICA,Agua potable y Saneamiento básico,ALBÁN,3300000.0
NO APLICA,Agua potable y Saneamiento básico,ALGECIRAS,1642760858.0
NO APLICA,Agua potable y Saneamiento básico,ALMEIDA,176301979.0
NO APLICA,Agua potable y Saneamiento básico,ALTAMIRA,374901983.0
NO APLICA,Agua potable y Saneamiento básico,AMBALEMA,645737305.0
NO APLICA,Agua potable y Saneamiento básico,ANDES,5222952074.0
NO APLICA,Agua potable y Saneamiento básico,ANGOSTURA,365110380.0
NO APLICA,Agua potable y Saneamiento básico,APÍA,1379131109.0
NO APLICA,Agua potable y Saneamiento básico,ARANZAZU,708790816.0
NO APLICA,Agua potable y Saneamiento básico,ARAUCA,6122345420.0
NO APLICA,Agua potable y Saneamiento básico,ARCABUCO,157303082.0
NO APLICA,Agua potable y Saneamiento básico,ARMENIA,17815251991.0
NO APLICA,Agua potable y Saneamiento básico,BALBOA,378483010.0
NO APLICA,Agua potable y Saneamiento básico,BARBOSA,97241210.0
NO APLICA,Agua potable y Saneamiento básico,BARICHARA,864133882.0
NO APLICA,Agua potable y Saneamiento básico,BARRANCABERMEJA,39966241729.0
NO APLICA,Agua potable y Saneamiento básico,BARRANQUILLA,453221390175.0
NO APLICA,Agua potable y Saneamiento básico,BELÉN,218691104.0
NO APLICA,Agua potable y Saneamiento básico,BELÉN DE LOS ANDAQUÍES,956568670.0
NO APLICA,Agua potable y Saneamiento básico,BETANIA,609311300.0
NO APLICA,Agua potable y Saneamiento básico,BETULIA,627158180.0
NO APLICA,Agua potable y Saneamiento básico,"BOGOTÁ, D.C.",1887695750.0
NO APLICA,Agua potable y Saneamiento básico,BOLÍVAR,156632642.0
NO APLICA,Agua potable y Saneamiento básico,BOSCONIA,108907096.0
NO APLICA,Agua potable y Saneamiento básico,BRICEÑO,483266168.0
NO APLICA,Agua potable y Saneamiento básico,BUCARAMANGA,258921668091.0
NO APLICA,Agua potable y Saneamiento básico,BUENAVISTA,601233082.0
NO APLICA,Agua potable y Saneamiento básico,CABRERA,124994792.0
NO APLICA,Agua potable y Saneamiento básico,CAJICÁ,7428220275.0
NO APLICA,Agua potable y Saneamiento básico,CALI,524795113911.0
NO APLICA,Agua potable y Saneamiento básico,CALIMA,170489498.0
NO APLICA,Agua potable y Saneamiento básico,CALOTO,452265545.0
NO APLICA,Agua potable y Saneamiento básico,CAMPOALEGRE,3245889262.0
NO APLICA,Agua potable y Saneamiento básico,CARMEN DE APICALÁ,2232399768.0
NO APLICA,Agua potable y Saneamiento básico,CARTAGENA DE INDIAS,308416144712.0
NO APLICA,Agua potable y Saneamiento básico,CARTAGENA DEL CHAIRÁ,1363308424.0
NO APLICA,Agua potable y Saneamiento básico,CARTAGO,25935361990.0
NO APLICA,Agua potable y Saneamiento básico,CASTILLA LA NUEVA,432859883.0
NO APLICA,Agua potable y Saneamiento básico,CAÑASGORDAS,1931122739.0
NO APLICA,Agua potable y Saneamiento básico,CHALÁN,173754024.0
NO APLICA,Agua potable y Saneamiento básico,CHINÁCOTA,1009353295.0
NO APLICA,Agua potable y Saneamiento básico,CHIQUINQUIRÁ,8331196895.0
NO APLICA,Agua potable y Saneamiento básico,CHITARAQUE,48823951.0
NO APLICA,Agua potable y Saneamiento básico,CHIVOLO,630378541.0
NO APLICA,Agua potable y Saneamiento básico,CHOACHÍ,962769928.0
NO APLICA,Agua potable y Saneamiento básico,CHÁMEZA,144992614.0
NO APLICA,Agua potable y Saneamiento básico,CHÍA,47036653693.0
NO APLICA,Agua potable y Saneamiento básico,CISNEROS,340000.0
NO APLICA,Agua potable y Saneamiento básico,CIUDAD BOLÍVAR,1473718387.0
NO APLICA,Agua potable y Saneamiento básico,CIÉNEGA,417400051.0
NO APLICA,Agua potable y Saneamiento básico,COELLO,1285837656.0
NO APLICA,Agua potable y Saneamiento básico,COLOSÓ,681126929.0
NO APLICA,Agua potable y Saneamiento básico,CONCORDIA,257742721.0
NO APLICA,Agua potable y Saneamiento básico,CORINTO,2130870411.0
NO APLICA,Agua potable y Saneamiento básico,COTA,10223701540.0
NO APLICA,Agua potable y Saneamiento básico,CRAVO NORTE,657052338.0
NO APLICA,Agua potable y Saneamiento básico,CUASPÚD,165224211.0
NO APLICA,Agua potable y Saneamiento básico,CÓRDOBA,766144827.0
NO APLICA,Agua potable y Saneamiento básico,CÚCUTA,173998128.0
NO APLICA,Agua potable y Saneamiento básico,DOLORES,476570849.0
NO APLICA,Agua potable y Saneamiento básico,DONMATÍAS,1414370477.0
NO APLICA,Agua potable y Saneamiento básico,DOSQUEBRADAS,37602305448.0
NO APLICA,Agua potable y Saneamiento básico,DUITAMA,16037024535.0
NO APLICA,Agua potable y Saneamiento básico,EBÉJICO,326106199.0
NO APLICA,Agua potable y Saneamiento básico,EL BANCO,2589511208.0
NO APLICA,Agua potable y Saneamiento básico,EL CARMEN DE VIBORAL,11277495829.0
NO APLICA,Agua potable y Saneamiento básico,EL DONCELLO,968042437.0
NO APLICA,Agua potable y Saneamiento básico,EL PAUJÍL,720175576.0
NO APLICA,Agua potable y Saneamiento básico,EL PEÑÓN,11152742.0
NO APLICA,Agua potable y Saneamiento básico,EL ROSAL,129189495.0
NO APLICA,Agua potable y Saneamiento básico,EL SANTUARIO,3335862912.0
NO APLICA,Agua potable y Saneamiento básico,EL TAMBO,300034468.0
NO APLICA,Agua potable y Saneamiento básico,EL ZULIA,1782632749.0
NO APLICA,Agua potable y Saneamiento básico,ENCINO,129717464.0
NO APLICA,Agua potable y Saneamiento básico,FACATATIVÁ,11008114538.0
NO APLICA,Agua potable y Saneamiento básico,FALAN,456161138.0
NO APLICA,Agua potable y Saneamiento básico,FLORIDABLANCA,1449762025.0
NO APLICA,Agua potable y Saneamiento básico,FRONTINO,1282161822.0
NO APLICA,Agua potable y Saneamiento básico,FUNZA,24076791168.0
NO APLICA,Agua potable y Saneamiento básico,FUSAGASUGÁ,17546094322.0
NO APLICA,Agua potable y Saneamiento básico,GARAGOA,1303653535.0
NO APLICA,Agua potable y Saneamiento básico,GARZÓN,7139363757.0
NO APLICA,Agua potable y Saneamiento básico,GIGANTE,1270145545.0
NO APLICA,Agua potable y Saneamiento básico,GIRALDO,357187530.0
NO APLICA,Agua potable y Saneamiento básico,GRANADA,54096400.0
NO APLICA,Agua potable y Saneamiento básico,GUACHUCAL,347085791.0
NO APLICA,Agua potable y Saneamiento básico,GUADALAJARA DE BUGA,22993043753.0
NO APLICA,Agua potable y Saneamiento básico,GUADALUPE,2633283321.0
NO APLICA,Agua potable y Saneamiento básico,GUAMAL,52553011.0
NO APLICA,Agua potable y Saneamiento básico,GUARNE,6488016482.0
NO APLICA,Agua potable y Saneamiento básico,GUASCA,201280841.0
NO APLICA,Agua potable y Saneamiento básico,GUATAPÉ,1255507602.0
NO APLICA,Agua potable y Saneamiento básico,GUATEQUE,6905118851.0
NO APLICA,Agua potable y Saneamiento básico,GUÁTICA,756258074.0
NO APLICA,Agua potable y Saneamiento básico,HATO COROZAL,478651348.0
NO APLICA,Agua potable y Saneamiento básico,HELICONIA,354064427.0
NO APLICA,Agua potable y Saneamiento básico,HERVEO,455745388.0
NO APLICA,Agua potable y Saneamiento básico,HISPANIA,1867000.0
NO APLICA,Agua potable y Saneamiento básico,IBAGUÉ,93893860499.0
NO APLICA,Agua potable y Saneamiento básico,IPIALES,18807445616.0
NO APLICA,Agua potable y Saneamiento básico,ISNOS,816398949.0
NO APLICA,Agua potable y Saneamiento básico,ITUANGO,53932430.0
NO APLICA,Agua potable y Saneamiento básico,JARDÍN,395701363.0
NO APLICA,Agua potable y Saneamiento básico,JERICÓ,1528187244.0
NO APLICA,Agua potable y Saneamiento básico,LA ARGENTINA,550422863.0
NO APLICA,Agua potable y Saneamiento básico,LA CALERA,179166667.0
NO APLICA,Agua potable y Saneamiento básico,LA CEJA,7953582846.0
NO APLICA,Agua potable y Saneamiento básico,LA CELIA,491320983.0
NO APLICA,Agua potable y Saneamiento básico,LA CRUZ,242423690.0
NO APLICA,Agua potable y Saneamiento básico,LA GLORIA,1028133339.0
NO APLICA,Agua potable y Saneamiento básico,LA MERCED,430216860.0
NO APLICA,Agua potable y Saneamiento básico,LA MONTAÑITA,512197458.0
NO APLICA,Agua potable y Saneamiento básico,LA PAZ,193400000.0
NO APLICA,Agua potable y Saneamiento básico,LA PLATA,3002091758.0
NO APLICA,Agua potable y Saneamiento básico,LA UNIÓN,714526917.0
NO APLICA,Agua potable y Saneamiento básico,LEBRIJA,3090089698.0
NO APLICA,Agua potable y Saneamiento básico,LEIVA,75170700.0
NO APLICA,Agua potable y Saneamiento básico,LEJANÍAS,637169720.0
NO APLICA,Agua potable y Saneamiento básico,LIBORINA,114133460.0
NO APLICA,Agua potable y Saneamiento básico,LOS PATIOS,170800000.0
NO APLICA,Agua potable y Saneamiento básico,LÉRIDA,2282566611.0
NO APLICA,Agua potable y Saneamiento básico,LÍBANO,4266936287.0
NO APLICA,Agua potable y Saneamiento básico,MACANAL,143887123.0
