NOM_CATEGORIA,NOM_DEST,NOM_MUN,PAGOS
Segunda,Administración de justicia,DOSQUEBRADAS,2746061018.0
Segunda,Administración de justicia,FACATATIVÁ,59999130.0
Segunda,Administración de justicia,FLORENCIA,1158903318.0
Segunda,Administración de justicia,FUSAGASUGÁ,2681541345.0
Segunda,Administración de justicia,GIRARDOT,303086866.0
Segunda,Administración de justicia,GUADALAJARA DE BUGA,2287975420.0
Segunda,Administración de justicia,MADRID,1296447570.0
Segunda,Administración de justicia,MANIZALES,433048080.0
Segunda,Administración de justicia,MONTERÍA,9569269842.0
Segunda,Administración de justicia,PEREIRA,463049297.0
Segunda,Administración de justicia,PIEDECUESTA,2512538948.0
Segunda,Administración de justicia,SINCELEJO,7501964724.0
Segunda,Administración de justicia,TULUÁ,1023493570.0
Segunda,Administración de justicia,YOPAL,11175073.0
Segunda,Administración de justicia,ZIPAQUIRÁ,641903162.0
Segunda,Agua potable y Saneamiento básico,BUCARAMANGA,34708165749.0
Segunda,Agua potable y Saneamiento básico,CAJICÁ,1602207849.0
Segunda,Agua potable y Saneamiento básico,CÚCUTA,1598321497.0
Segunda,Agua potable y Saneamiento básico,DOSQUEBRADAS,664819948.0
Segunda,Agua potable y Saneamiento básico,FACATATIVÁ,5176360217.0
Segunda,Agua potable y Saneamiento básico,FLORENCIA,2126698548.0
Segunda,Agua potable y Saneamiento básico,FUSAGASUGÁ,2953153255.0
Segunda,Agua potable y Saneamiento básico,GIRARDOT,2060887383.0
Segunda,Agua potable y Saneamiento básico,GIRÓN,6685276364.0
Segunda,Agua potable y Saneamiento básico,GUADALAJARA DE BUGA,2453899326.0
Segunda,Agua potable y Saneamiento básico,IBAGUÉ,6393491516.0
Segunda,Agua potable y Saneamiento básico,LA ESTRELLA,2064929178.0
Segunda,Agua potable y Saneamiento básico,MADRID,8246167720.0
Segunda,Agua potable y Saneamiento básico,MANIZALES,28642943049.0
Segunda,Agua potable y Saneamiento básico,MONTERÍA,36211586076.0
Segunda,Agua potable y Saneamiento básico,NEIVA,3209307118.0
Segunda,Agua potable y Saneamiento básico,PASTO,25864289919.0
Segunda,Agua potable y Saneamiento básico,PEREIRA,4035029539.0
Segunda,Agua potable y Saneamiento básico,PIEDECUESTA,4571085854.0
Segunda,Agua potable y Saneamiento básico,POPAYÁN,4757483588.0
Segunda,Agua potable y Saneamiento básico,SAN ANDRÉS,10668551257.0
Segunda,Agua potable y Saneamiento básico,SANTA MARTA,19177020596.0
Segunda,Agua potable y Saneamiento básico,SINCELEJO,16011814839.0
Segunda,Agua potable y Saneamiento básico,SOGAMOSO,2550599116.0
Segunda,Agua potable y Saneamiento básico,SOLEDAD,40945697213.0
Segunda,Agua potable y Saneamiento básico,TOCANCIPÁ,3201214516.0
Segunda,Agua potable y Saneamiento básico,TULUÁ,4466988218.0
Segunda,Agua potable y Saneamiento básico,VALLEDUPAR,10138694066.0
Segunda,Agua potable y Saneamiento básico,YOPAL,7345825709.0
Segunda,Agua potable y Saneamiento básico,ZIPAQUIRÁ,316416916.0
Segunda,Atención a desastres,BUCARAMANGA,11053870642.0
Segunda,Atención a desastres,CAJICÁ,4514721473.0
Segunda,Atención a desastres,CÚCUTA,16469187574.0
Segunda,Atención a desastres,DOSQUEBRADAS,1024475201.0
Segunda,Atención a desastres,FACATATIVÁ,395358588.0
Segunda,Atención a desastres,FLORENCIA,1055374762.0
Segunda,Atención a desastres,FUSAGASUGÁ,1639027661.0
Segunda,Atención a desastres,GIRARDOT,910109157.0
Segunda,Atención a desastres,GIRÓN,2712041781.0
Segunda,Atención a desastres,GUADALAJARA DE BUGA,265291503.0
Segunda,Atención a desastres,LA ESTRELLA,175868162.0
Segunda,Atención a desastres,MADRID,599989999.0
Segunda,Atención a desastres,MANIZALES,1281063526.0
Segunda,Atención a desastres,MONTERÍA,3421779828.0
Segunda,Atención a desastres,NEIVA,2308543204.0
Segunda,Atención a desastres,PASTO,834716560.0
Segunda,Atención a desastres,PEREIRA,461498404.0
Segunda,Atención a desastres,PIEDECUESTA,3980629677.0
Segunda,Atención a desastres,POPAYÁN,1975191495.0
Segunda,Atención a desastres,SAN ANDRÉS,77158277.0
Segunda,Atención a desastres,SANTA MARTA,499370758.0
Segunda,Atención a desastres,SINCELEJO,506282103.0
Segunda,Atención a desastres,SOGAMOSO,974091595.0
Segunda,Atención a desastres,SOLEDAD,2825715550.0
Segunda,Atención a desastres,TOCANCIPÁ,2755670501.0
Segunda,Atención a desastres,TULUÁ,3525810054.0
Segunda,Atención a desastres,YOPAL,1688447038.0
Segunda,Atención a desastres,ZIPAQUIRÁ,841185095.0
Segunda,Atención a grupos vulnerables,BUCARAMANGA,24668615811.0
Segunda,Atención a grupos vulnerables,CAJICÁ,6812237527.0
Segunda,Atención a grupos vulnerables,CÚCUTA,1837961930.0
Segunda,Atención a grupos vulnerables,DOSQUEBRADAS,3228846459.0
Segunda,Atención a grupos vulnerables,FACATATIVÁ,2561807978.0
Segunda,Atención a grupos vulnerables,FLORENCIA,4125328388.0
Segunda,Atención a grupos vulnerables,FUSAGASUGÁ,2081211336.0
Segunda,Atención a grupos vulnerables,GIRARDOT,1001770613.0
Segunda,Atención a grupos vulnerables,GIRÓN,7510813675.0
Segunda,Atención a grupos vulnerables,GUADALAJARA DE BUGA,1583912538.0
Segunda,Atención a grupos vulnerables,IBAGUÉ,487381098.0
Segunda,Atención a grupos vulnerables,LA ESTRELLA,2457671817.0
Segunda,Atención a grupos vulnerables,MADRID,1850138804.0
Segunda,Atención a grupos vulnerables,MANIZALES,4788291521.0
Segunda,Atención a grupos vulnerables,MONTERÍA,5488802135.0
Segunda,Atención a grupos vulnerables,NEIVA,5720791726.0
Segunda,Atención a grupos vulnerables,PASTO,2918175849.0
