NOM_CATEGORIA,NOM_DEST,NOM_MUN,PAGOS
Sexta,Administración de justicia,ABEJORRAL,302853057.0
Sexta,Administración de justicia,ABRIAQUÍ,13289683.0
Sexta,Administración de justicia,ACANDÍ,167314800.0
Sexta,Administración de justicia,AGRADO,217170083.0
Sexta,Administración de justicia,AGUADA,124850451.0
Sexta,Administración de justicia,AGUADAS,207037143.0
Sexta,Administración de justicia,AIPE,181662959.0
Sexta,Administración de justicia,ALBANIA,307823232.0
Sexta,Administración de justicia,ALBÁN,316654476.0
Sexta,Administración de justicia,ALCALÁ,782203858.0
Sexta,Administración de justicia,ALEJANDRÍA,94668166.0
Sexta,Administración de justicia,ALGARROBO,82621708.0
Sexta,Administración de justicia,ALGECIRAS,88999241.0
Sexta,Administración de justicia,ALMEIDA,104553713.0
Sexta,Administración de justicia,ALTAMIRA,276609.0
Sexta,Administración de justicia,ALTO BAUDÓ,76130360.0
Sexta,Administración de justicia,AMAGÁ,546170220.0
Sexta,Administración de justicia,AMALFI,513127848.0
Sexta,Administración de justicia,AMBALEMA,238616994.0
Sexta,Administración de justicia,ANCUYÁ,94682826.0
Sexta,Administración de justicia,ANDES,427584859.0
Sexta,Administración de justicia,ANGELÓPOLIS,182208807.0
Sexta,Administración de justicia,ANGOSTURA,246329983.0
Sexta,Administración de justicia,ANOLAIMA,144102184.0
Sexta,Administración de justicia,ANORÍ,203111417.0
Sexta,Administración de justicia,ANZOÁTEGUI,177146796.0
Sexta,Administración de justicia,ANZÁ,28021270.0
Sexta,Administración de justicia,APULO,37300000.0
Sexta,Administración de justicia,AQUITANIA,219790907.0
Sexta,Administración de justicia,ARACATACA,271948146.0
Sexta,Administración de justicia,ARANZAZU,6426500.0
Sexta,Administración de justicia,ARATOCA,141715195.0
Sexta,Administración de justicia,ARBOLEDA,254473653.0
Sexta,Administración de justicia,ARBOLEDAS,264947834.0
Sexta,Administración de justicia,ARBOLETES,308815549.0
Sexta,Administración de justicia,ARCABUCO,136007463.0
Sexta,Administración de justicia,ARENAL,128009478.0
Sexta,Administración de justicia,ARGELIA,77271330.0
Sexta,Administración de justicia,ARIGUANÍ,65797705.0
Sexta,Administración de justicia,ARMENIA,112518863.0
Sexta,Administración de justicia,ARMERO,59628833.0
Sexta,Administración de justicia,ASTREA,251849629.0
Sexta,Administración de justicia,ATACO,129764496.0
Sexta,Administración de justicia,ATRATO,255339107.0
Sexta,Administración de justicia,AYAPEL,161569424.0
Sexta,Administración de justicia,BAGADÓ,132683485.0
Sexta,Administración de justicia,BAHÍA SOLANO,60589464.0
Sexta,Administración de justicia,BAJO BAUDÓ,179830875.0
Sexta,Administración de justicia,BALBOA,414060053.0
Sexta,Administración de justicia,BARAYA,138975701.0
Sexta,Administración de justicia,BARBACOAS,171891656.0
Sexta,Administración de justicia,BARICHARA,149195509.0
Sexta,Administración de justicia,BECERRIL,123605040.0
Sexta,Administración de justicia,BELMIRA,100171356.0
Sexta,Administración de justicia,BELTRÁN,143177592.0
Sexta,Administración de justicia,BELÉN,142540459.0
Sexta,Administración de justicia,BELÉN DE LOS ANDAQUÍES,338706981.0
Sexta,Administración de justicia,BELÉN DE UMBRÍA,14000000.0
Sexta,Administración de justicia,BERBEO,128149598.0
Sexta,Administración de justicia,BETANIA,35593493.0
Sexta,Administración de justicia,BETULIA,309430212.0
Sexta,Administración de justicia,BETÉITIVA,157097210.0
Sexta,Administración de justicia,BITUIMA,28804945.0
Sexta,Administración de justicia,BOAVITA,131041969.0
Sexta,Administración de justicia,BOCHALEMA,136835088.0
Sexta,Administración de justicia,BOJACÁ,202685493.0
Sexta,Administración de justicia,BOJAYÁ,77922061.0
Sexta,Administración de justicia,BOLÍVAR,163561901.0
Sexta,Administración de justicia,BOSCONIA,99494032.0
Sexta,Administración de justicia,BRICEÑO,9500000.0
Sexta,Administración de justicia,BUCARASICA,123316819.0
Sexta,Administración de justicia,BUENAVISTA,224885688.0
Sexta,Administración de justicia,BUENOS AIRES,44230000.0
Sexta,Administración de justicia,BUESACO,136733678.0
Sexta,Administración de justicia,BUGALAGRANDE,287164424.0
Sexta,Administración de justicia,BURITICÁ,96744879.0
Sexta,Administración de justicia,BUSBANZÁ,69405205.0
Sexta,Administración de justicia,CABRERA,438370885.0
Sexta,Administración de justicia,CABUYARO,180220976.0
Sexta,Administración de justicia,CACHIPAY,163433620.0
Sexta,Administración de justicia,CAICEDO,139111021.0
Sexta,Administración de justicia,CAICEDONIA,257307279.0
Sexta,Administración de justicia,CAIMITO,371344264.0
Sexta,Administración de justicia,CAJAMARCA,27627247.0
Sexta,Administración de justicia,CAJIBÍO,161540566.0
Sexta,Administración de justicia,CALAMAR,1827424079.0
Sexta,Administración de justicia,CALDAS,101284955.0
Sexta,Administración de justicia,CALDONO,248258055.0
Sexta,Administración de justicia,CALIFORNIA,106381574.0
Sexta,Administración de justicia,CAMPAMENTO,120908221.0
Sexta,Administración de justicia,CAMPOHERMOSO,229263425.0
Sexta,Administración de justicia,CANALETE,336650930.0
Sexta,Administración de justicia,CANTAGALLO,239840101.0
Sexta,Administración de justicia,CAPARRAPÍ,337095112.0
Sexta,Administración de justicia,CAPITANEJO,406873499.0
Sexta,Administración de justicia,CARACOLÍ,139230345.0
Sexta,Administración de justicia,CARAMANTA,45093945.0
Sexta,Administración de justicia,CARCASÍ,113262014.0
Sexta,Administración de justicia,CAREPA,16700000.0
Sexta,Administración de justicia,CARMEN DE APICALÁ,1241854776.0
Sexta,Administración de justicia,CARMEN DE CARUPA,204052760.0
Sexta,Administración de justicia,CARMEN DEL DARIÉN,102917982.0
Sexta,Administración de justicia,CAROLINA,158611518.0
Sexta,Administración de justicia,CARTAGENA DEL CHAIRÁ,152119993.0
Sexta,Administración de justicia,CARURÚ,207726260.0
Sexta,Administración de justicia,CASABIANCA,110164974.0
Sexta,Administración de justicia,CEPITÁ,90206987.0
Sexta,Administración de justicia,CERETÉ,1587102764.0
Sexta,Administración de justicia,CERINZA,95196952.0
Sexta,Administración de justicia,CERRITO,114054654.0
Sexta,Administración de justicia,CHACHAGÜÍ,132720779.0
Sexta,Administración de justicia,CHALÁN,215697801.0
Sexta,Administración de justicia,CHARALÁ,108826827.0
Sexta,Administración de justicia,CHARTA,147142184.0
Sexta,Administración de justicia,CHIMICHAGUA,135543849.0
Sexta,Administración de justicia,CHIMÁ,43435403.0
