NOM_CATEGORIA,NOM_DEST,std,mean,min,max
Cuarta,Administración de justicia,284934076.23603696,211405433.25,120876.0,1284239580.0
Cuarta,Agua potable y Saneamiento básico,1107883836.201285,523487226.8705234,3.0,10171974775.0
Cuarta,Atención a desastres,218383222.59449834,166726332.08870968,77988.0,1413196573.0
Cuarta,Atención a grupos vulnerables,725468133.0826578,242734302.2494062,297314.0,12700137367.0
Cuarta,Ciencia y tenología,370361654.57469183,190688867.1818182,2600000.0,1254916559.0
Cuarta,Comunicaciones,391041018.264248,368557047.6,59820345.0,802788039.0
Cuarta,Cultura,373984286.2733479,208276338.28428927,2978.0,5037912720.0
Cuarta,Defensa y seguridad,505558777.1791703,330762042.07954544,641551.0,3392276873.0
Cuarta,Deporte y Recreación,605870048.476765,303867253.9517544,13117.0,4219873570.0
Cuarta,"Desarrollo comunitario, comercial e industrial",233293779.38830385,130209587.89333333,1040400.0,1798646488.0
Cuarta,Educación,11156996136.698908,2071685095.89899,5469.0,219842309223.0
Cuarta,Fortalecimiento institucional,1025003139.9152114,331708567.99671054,21897.0,14571964810.0
Cuarta,Funcionamiento y pensiones,1106488022.2517252,170055462.88164958,1.0,61077793845.0
Cuarta,Medio ambiente,444960675.8343082,249924047.6884422,72940.0,2584288000.0
Cuarta,Otros,36515809990.99869,10688710753.3532,5469.0,430149621995.0
Cuarta,Salud,8289890364.693634,2172428915.062663,19080.0,127067123087.0
Cuarta,Sector eléctrico,1480146545.2988777,1083456446.05,140060.0,6046476012.0
Cuarta,Sector minero,416127813.34598804,317409475.5,30000000.0,1129204663.0
Cuarta,Servicio de la deuda,537768209.0415711,496617939.34210527,238.0,2211283223.0
Cuarta,Transporte,1215735880.916416,579791045.9223301,1605.0,15673843508.0
Cuarta,Vivienda,439790373.33865094,216755855.4871795,771722.0,2677429918.0
Especial,Administración de justicia,8194309658.1139145,3570453997.1132073,1457633.0,52618651772.0
Especial,Agua potable y Saneamiento básico,18336911852.68637,10969221052.899082,3942474.0,77907000000.0
Especial,Atención a desastres,9529129796.22485,4147296385.9333334,2142000.0,60000000000.0
Especial,Atención a grupos vulnerables,17219891839.300117,6690081919.229885,146800.0,133043352559.0
Especial,Ciencia y tenología,3362529682.6159115,1738590754.625,97300000.0,10000000000.0
Especial,Comunicaciones,3807782849.1189885,2131543133.4347825,1337270.0,17001603873.0
Especial,Cultura,14649695484.62385,3920994591.6510067,745722.0,129505183928.0
Especial,Defensa y seguridad,17048013922.247082,6788016260.172839,2619211.0,99968511605.0
Especial,Deporte y Recreación,20382706936.53381,8206376496.655556,3840000.0,139306824497.0
Especial,"Desarrollo comunitario, comercial e industrial",4636184689.662655,1845068422.9189188,320000.0,49035380310.0
Especial,Educación,90996319290.40608,21182833576.227066,1.0,1414975176522.0
Especial,Fortalecimiento institucional,11136865752.200327,3349828247.863768,26442.0,100571334419.0
Especial,Funcionamiento y pensiones,20365993882.74249,4334278207.94485,1.0,519803149236.0
Especial,Medio ambiente,41510253776.87004,6908708086.382716,2060.0,498675577187.0
Especial,Otros,893298292668.6869,270677624061.9316,7756403.0,13080980638473.0
Especial,Salud,47001937301.83978,12863152754.72093,562686.0,386872919516.0
Especial,Sector eléctrico,32502584910.895107,23427129231.545456,41500000.0,98552018485.0
Especial,Sector minero,2143542216.055297,2307240877.5,748140286.0,5478107949.0
Especial,Servicio de la deuda,36867025373.52153,27174983300.37931,13918000.0,115486000000.0
Especial,Transporte,98355756053.28105,19522284340.61215,1000000.0,1208382500578.0
Especial,Vivienda,14682982745.091526,5982826417.368421,641038.0,105192598980.0
NO APLICA,Administración de justicia,750308469.9827887,702472235.625,1006600.0,1898262061.0
NO APLICA,Agua potable y Saneamiento básico,4642061100.550426,275886940.6687359,1.0,445304947880.0
NO APLICA,Atención a desastres,43220085008.95446,6397123112.982142,187247.0,323884281543.0
NO APLICA,Atención a grupos vulnerables,4084407739.032496,942287789.367647,207934.0,30090710705.0
NO APLICA,Ciencia y tenología,4349965587.025181,2152736468.1764708,122928.0,16164399162.0
NO APLICA,Comunicaciones,12796889848.639458,2907763854.548105,26226.0,190983029442.0
NO APLICA,Cultura,4918489649.164639,739739918.2033899,34450.0,104992612818.0
NO APLICA,Defensa y seguridad,35427961313.41278,7729749757.046729,347000.0,249990615288.0
NO APLICA,Deporte y Recreación,3702701875.8820863,529979705.3700838,2.0,88223917014.0
NO APLICA,"Desarrollo comunitario, comercial e industrial",62172239242.84341,5484224745.54382,32007.0,1238309574560.0
NO APLICA,Educación,9878554263.063316,1983145743.255279,1.0,249765326995.0
NO APLICA,Fortalecimiento institucional,2823562115.201409,912257126.7075717,1029.0,29750434570.0
NO APLICA,Funcionamiento y pensiones,268553609735.8333,5310805108.178066,1.0,24783084968544.0
NO APLICA,Libre destinación,33562370797.46406,1381048991.3098836,1.0,2986273829734.0
NO APLICA,Medio ambiente,6076265538.30417,917746027.2008879,4000.0,198586684996.0
NO APLICA,Otros,579825198522.6046,18352641355.01122,1.0,63453649635881.0
NO APLICA,Salud,225842245282.51743,2728678804.1527066,1.0,23523725904319.0
NO APLICA,Sector eléctrico,47649736731.66333,7821430631.510329,1.0,864468944768.0
NO APLICA,Sector minero,3885786978.734251,2577576464.0,30948003.0,7050164527.0
NO APLICA,Servicio de la deuda,1070002099479.7104,166239920259.92957,3539212.0,8746840597536.0
NO APLICA,Trabajo y seguridad social,50737565747.69398,20819292643.333332,7173162.0,242495677856.0
NO APLICA,Transporte,31142744438.850456,5121392280.368999,1.0,521302764333.0
NO APLICA,Vivienda,9448853769.006796,1714862319.6478872,1.0,113884071467.0
Primera,Administración de justicia,1614295103.9661472,788549067.9642857,6752586.0,10634187104.0
Primera,Agua potable y Saneamiento básico,2463891295.817326,1260280696.9862542,1000000.0,24070525171.0
Primera,Atención a desastres,1279502218.6951306,833700200.2649573,2383672.0,8350081259.0
Primera,Atención a grupos vulnerables,1456283465.7973294,820289937.4125,453200.0,13390657640.0
Primera,Ciencia y tenología,479159854.3668616,359240865.32258064,10320000.0,1895016962.0
Primera,Comunicaciones,4083984600.760213,1562319029.826087,12500000.0,19636810432.0
Primera,Cultura,1338623335.2398577,783769466.9755244,24006.0,9897261270.0
Primera,Defensa y seguridad,3979399727.674521,1474128130.656051,430160.0,40212251464.0
Primera,Deporte y Recreación,2684861641.7467012,1399306941.4885845,47757.0,20491643140.0
Primera,"Desarrollo comunitario, comercial e industrial",1003836317.9843912,606737551.755102,102.0,4706240072.0
Primera,Educación,26878359101.58934,5413823303.7844,45670.0,419328233358.0
Primera,Fortalecimiento institucional,3006521679.992848,1008921556.6763848,657213.0,43375965226.0
Primera,Funcionamiento y pensiones,2137834490.9959426,550245705.7944481,2.0,50528326013.0
Primera,Medio ambiente,3794124820.5242944,1370464037.0046296,19170.0,26907336307.0
Primera,Otros,102115205035.68658,32623961113.898373,50730.0,1025658603409.0
Primera,Salud,17297968518.208435,4289122129.206211,8.0,254000000000.0
Primera,Sector eléctrico,6796190234.128642,4449489954.090909,321309.0,29199986283.0
Primera,Sector minero,543982802.4340352,418147000.0,59650000.0,1470258800.0
Primera,Servicio de la deuda,5461305047.230798,3793936710.525,596272.0,28031086243.0
Primera,Transporte,4197574387.649882,1884277984.3729281,107678.0,43785398048.0
Primera,Vivienda,3281084559.95183,1518339795.1931818,3103758.0,18732724634.0
Quinta,Administración de justicia,217054559.66548517,115124827.80597015,1622106.0,1500000000.0
Quinta,Agua potable y Saneamiento básico,363714418.6505036,233044908.23974764,70000.0,2334775890.0
Quinta,Atención a desastres,193064971.08964002,134849684.3761468,400000.0,885966904.0
Quinta,Atención a grupos vulnerables,270981150.708304,134904683.47708896,24620.0,2732832260.0
Quinta,Ciencia y tenología,83689458.50106312,103055624.0,9945920.0,238930319.0
Quinta,Comunicaciones,62895268.32692827,96230137.0,57490411.0,168800000.0
Quinta,Cultura,423661018.9979211,168807747.68670887,12829.0,5142813953.0
Quinta,Defensa y seguridad,642683786.9777067,229600674.5612245,124037.0,5605061241.0
Quinta,Deporte y Recreación,231614750.6152306,148538475.5855856,1403.0,1733489800.0
Quinta,"Desarrollo comunitario, comercial e industrial",173864285.6478892,100942884.67307693,54054.0,1220215000.0
Quinta,Educación,2371431133.3483014,314210131.75583863,2794.0,50097420517.0
