NOM_CATEGORIA,NOM_DEST,NOM_MUN,PAGOS
Primera,Administración de justicia,BARRANCABERMEJA,3459971200.0
Primera,Administración de justicia,BARRANQUILLA,49165000.0
Primera,Administración de justicia,BELLO,259881144.0
Primera,Administración de justicia,BUCARAMANGA,16710022683.0
Primera,Administración de justicia,BUENAVENTURA,3541792261.0
Primera,Administración de justicia,CARTAGENA DE INDIAS,739102074.0
Primera,Administración de justicia,CHÍA,128787800.0
Primera,Administración de justicia,CÚCUTA,2988929618.0
Primera,Administración de justicia,ENVIGADO,283744248.0
Primera,Administración de justicia,FUNZA,1083900784.0
Primera,Administración de justicia,IBAGUÉ,325599999.0
Primera,Administración de justicia,MOSQUERA,2135094167.0
Primera,Administración de justicia,PASTO,1497698528.0
Primera,Administración de justicia,RIONEGRO,4291505950.0
Primera,Administración de justicia,SABANETA,4220723229.0
Primera,Administración de justicia,TUNJA,1203591410.0
Primera,Administración de justicia,VILLAVICENCIO,1239237711.0
Primera,Agua potable y Saneamiento básico,ARMENIA,2760894273.0
Primera,Agua potable y Saneamiento básico,BARRANCABERMEJA,12259151806.0
Primera,Agua potable y Saneamiento básico,BARRANQUILLA,26121855520.0
Primera,Agua potable y Saneamiento básico,BELLO,7179332804.0
Primera,Agua potable y Saneamiento básico,BUCARAMANGA,9596125298.0
Primera,Agua potable y Saneamiento básico,BUENAVENTURA,16821779376.0
Primera,Agua potable y Saneamiento básico,CARTAGENA DE INDIAS,6216750536.0
Primera,Agua potable y Saneamiento básico,CHÍA,4346224486.0
Primera,Agua potable y Saneamiento básico,CÚCUTA,24260135701.0
Primera,Agua potable y Saneamiento básico,ENVIGADO,3430302115.0
Primera,Agua potable y Saneamiento básico,FLORIDABLANCA,8524595828.0
Primera,Agua potable y Saneamiento básico,FUNZA,3681831045.0
Primera,Agua potable y Saneamiento básico,IBAGUÉ,16299691645.0
Primera,Agua potable y Saneamiento básico,ITAGÜÍ,18077086929.0
Primera,Agua potable y Saneamiento básico,MANIZALES,2956228980.0
Primera,Agua potable y Saneamiento básico,MONTERÍA,41156294701.0
Primera,Agua potable y Saneamiento básico,MOSQUERA,8079834146.0
Primera,Agua potable y Saneamiento básico,NEIVA,3510237897.0
Primera,Agua potable y Saneamiento básico,PALMIRA,1535742566.0
Primera,Agua potable y Saneamiento básico,PASTO,16553441736.0
Primera,Agua potable y Saneamiento básico,PEREIRA,6035063720.0
Primera,Agua potable y Saneamiento básico,RIONEGRO,24058985631.0
Primera,Agua potable y Saneamiento básico,SABANETA,347020192.0
Primera,Agua potable y Saneamiento básico,SANTA MARTA,8933617128.0
Primera,Agua potable y Saneamiento básico,SOACHA,6982919246.0
Primera,Agua potable y Saneamiento básico,TUNJA,3440483731.0
Primera,Agua potable y Saneamiento básico,VALLEDUPAR,3728803323.0
Primera,Agua potable y Saneamiento básico,VILLAVICENCIO,73570105179.0
Primera,Agua potable y Saneamiento básico,YUMBO,6277147285.0
Primera,Atención a desastres,ARMENIA,3219699848.0
Primera,Atención a desastres,BARRANCABERMEJA,3533059861.0
Primera,Atención a desastres,BARRANQUILLA,3806140777.0
Primera,Atención a desastres,BELLO,5458030041.0
Primera,Atención a desastres,BUCARAMANGA,214296984.0
Primera,Atención a desastres,BUENAVENTURA,1385626426.0
Primera,Atención a desastres,CARTAGENA DE INDIAS,4908534648.0
Primera,Atención a desastres,CHÍA,1610032880.0
Primera,Atención a desastres,CÚCUTA,3198484079.0
Primera,Atención a desastres,ENVIGADO,1580361403.0
Primera,Atención a desastres,FLORIDABLANCA,5189333521.0
Primera,Atención a desastres,FUNZA,52268178.0
Primera,Atención a desastres,IBAGUÉ,1831287609.0
Primera,Atención a desastres,ITAGÜÍ,2740830314.0
Primera,Atención a desastres,MANIZALES,12531588015.0
Primera,Atención a desastres,MOSQUERA,746460920.0
Primera,Atención a desastres,NEIVA,468780272.0
Primera,Atención a desastres,PALMIRA,3366350398.0
Primera,Atención a desastres,PASTO,2798222585.0
Primera,Atención a desastres,PEREIRA,8174950617.0
Primera,Atención a desastres,RIONEGRO,2854139680.0
Primera,Atención a desastres,SABANETA,4580131953.0
Primera,Atención a desastres,SANTA MARTA,689084000.0
Primera,Atención a desastres,SOACHA,446270496.0
Primera,Atención a desastres,TUNJA,4931147714.0
Primera,Atención a desastres,VALLEDUPAR,660994135.0
Primera,Atención a desastres,VILLAVICENCIO,12462213236.0
Primera,Atención a desastres,YUMBO,4104602841.0
Primera,Atención a grupos vulnerables,ARMENIA,5640796305.0
Primera,Atención a grupos vulnerables,BARRANCABERMEJA,8428188336.0
Primera,Atención a grupos vulnerables,BARRANQUILLA,47071697790.0
Primera,Atención a grupos vulnerables,BELLO,7920024370.0
Primera,Atención a grupos vulnerables,BUCARAMANGA,16009901442.0
Primera,Atención a grupos vulnerables,BUENAVENTURA,1128395727.0
Primera,Atención a grupos vulnerables,CARTAGENA DE INDIAS,7812761254.0
Primera,Atención a grupos vulnerables,CHÍA,10652256782.0
Primera,Atención a grupos vulnerables,CÚCUTA,32739774058.0
Primera,Atención a grupos vulnerables,ENVIGADO,11892391361.0
Primera,Atención a grupos vulnerables,FLORIDABLANCA,4207046813.0
Primera,Atención a grupos vulnerables,FUNZA,9924886591.0
Primera,Atención a grupos vulnerables,IBAGUÉ,8752342834.0
Primera,Atención a grupos vulnerables,ITAGÜÍ,17301393203.0
Primera,Atención a grupos vulnerables,MANIZALES,4653217420.0
Primera,Atención a grupos vulnerables,MONTERÍA,3994736237.0
Primera,Atención a grupos vulnerables,MOSQUERA,13603279661.0
Primera,Atención a grupos vulnerables,NEIVA,5173774407.0
Primera,Atención a grupos vulnerables,PASTO,7047351021.0
Primera,Atención a grupos vulnerables,PEREIRA,12059685199.0
Primera,Atención a grupos vulnerables,RIONEGRO,28212508245.0
Primera,Atención a grupos vulnerables,SABANETA,10372012198.0
Primera,Atención a grupos vulnerables,SANTA MARTA,3128047664.0
Primera,Atención a grupos vulnerables,SOACHA,6037850786.0
Primera,Atención a grupos vulnerables,TUNJA,8580569624.0
Primera,Atención a grupos vulnerables,VALLEDUPAR,6523111528.0
Primera,Atención a grupos vulnerables,VILLAVICENCIO,20707286240.0
Primera,Atención a grupos vulnerables,YUMBO,8540687869.0
Primera,Ciencia y tenología,BARRANQUILLA,4849943755.0
Primera,Ciencia y tenología,CÚCUTA,387362666.0
Primera,Ciencia y tenología,FUNZA,558348420.0
Primera,Ciencia y tenología,ITAGÜÍ,165184246.0
Primera,Ciencia y tenología,MANIZALES,174156696.0
Primera,Ciencia y tenología,MONTERÍA,123000000.0
Primera,Ciencia y tenología,PEREIRA,1792247566.0
Primera,Ciencia y tenología,RIONEGRO,1677990902.0
Primera,Ciencia y tenología,SABANETA,935737860.0
Primera,Ciencia y tenología,TUNJA,472494714.0
Primera,Comunicaciones,BARRANQUILLA,466969363.0
Primera,Comunicaciones,BELLO,2436905546.0
Primera,Comunicaciones,FUNZA,566931252.0
Primera,Comunicaciones,ITAGÜÍ,3336548321.0
Primera,Comunicaciones,MANIZALES,283215939.0
Primera,Comunicaciones,PEREIRA,23548072585.0
Primera,Comunicaciones,RIONEGRO,1120398729.0
Primera,Comunicaciones,SABANETA,240921400.0
Primera,Comunicaciones,TUNJA,664998604.0
Primera,Comunicaciones,VILLAVICENCIO,3268375947.0
Primera,Cultura,ARMENIA,2118891330.0
Primera,Cultura,BARRANCABERMEJA,3243923273.0
Primera,Cultura,BARRANQUILLA,32888049000.0
Primera,Cultura,BELLO,2789835278.0
Primera,Cultura,BUCARAMANGA,14436434990.0
Primera,Cultura,BUENAVENTURA,736203948.0
Primera,Cultura,CARTAGENA DE INDIAS,18280529240.0
Primera,Cultura,CHÍA,5898348846.0
Primera,Cultura,CÚCUTA,5674947530.0
Primera,Cultura,ENVIGADO,23906566190.0
Primera,Cultura,FLORIDABLANCA,2423289837.0
Primera,Cultura,FUNZA,3528960892.0
Primera,Cultura,IBAGUÉ,6333913097.0
Primera,Cultura,ITAGÜÍ,7575394521.0
Primera,Cultura,MANIZALES,3774841618.0
Primera,Cultura,MONTERÍA,2306658032.0
Primera,Cultura,MOSQUERA,4007842347.0
Primera,Cultura,NEIVA,2829678685.0
Primera,Cultura,PALMIRA,4478259056.0
Primera,Cultura,PASTO,5247734843.0
Primera,Cultura,PEREIRA,8115868385.0
Primera,Cultura,RIONEGRO,7690234030.0
Primera,Cultura,SABANETA,5469815653.0
Primera,Cultura,SANTA MARTA,2783149073.0
Primera,Cultura,SOACHA,3056887793.0
Primera,Cultura,TUNJA,23189538704.0
Primera,Cultura,VALLEDUPAR,3259114901.0
Primera,Cultura,VILLAVICENCIO,12254699656.0
Primera,Cultura,YUMBO,5858456807.0
Primera,Defensa y seguridad,ARMENIA,317649578.0
Primera,Defensa y seguridad,BARRANCABERMEJA,9922773404.0
Primera,Defensa y seguridad,BARRANQUILLA,92423330426.0
Primera,Defensa y seguridad,BELLO,1516999027.0
Primera,Defensa y seguridad,BUENAVENTURA,300000000.0
Primera,Defensa y seguridad,CARTAGENA DE INDIAS,3431024772.0
Primera,Defensa y seguridad,CHÍA,7562503986.0
Primera,Defensa y seguridad,CÚCUTA,11352886332.0
Primera,Defensa y seguridad,ENVIGADO,9934794430.0
Primera,Defensa y seguridad,FUNZA,925488057.0
Primera,Defensa y seguridad,IBAGUÉ,2120560474.0
Primera,Defensa y seguridad,ITAGÜÍ,4559837375.0
Primera,Defensa y seguridad,MANIZALES,8428792342.0
Primera,Defensa y seguridad,MONTERÍA,3031255865.0
Primera,Defensa y seguridad,MOSQUERA,1757714454.0
Primera,Defensa y seguridad,NEIVA,3446581761.0
Primera,Defensa y seguridad,PALMIRA,14964726422.0
Primera,Defensa y seguridad,PASTO,4315187382.0
Primera,Defensa y seguridad,PEREIRA,10493224723.0
Primera,Defensa y seguridad,RIONEGRO,7972460470.0
Primera,Defensa y seguridad,SANTA MARTA,3371000708.0
Primera,Defensa y seguridad,SOACHA,2918116989.0
Primera,Defensa y seguridad,TUNJA,7836731687.0
Primera,Defensa y seguridad,VALLEDUPAR,3957078753.0
Primera,Defensa y seguridad,VILLAVICENCIO,8337555511.0
