NOM_CATEGORIA,NOM_DEST,NOM_MUN,PAGOS
Tercera,Administración de justicia,ACACÍAS,84000000.0
Tercera,Administración de justicia,APARTADÓ,1079229314.0
Tercera,Administración de justicia,CALDAS,868934313.0
Tercera,Administración de justicia,CANDELARIA,64375765.0
Tercera,Administración de justicia,COTA,98666664.0
Tercera,Administración de justicia,DUITAMA,711062582.0
Tercera,Administración de justicia,GIRARDOTA,126850497.0
Tercera,Administración de justicia,LA CEJA,293016163.0
Tercera,Administración de justicia,RICAURTE,221029573.0
Tercera,Administración de justicia,YOPAL,369733014.0
Tercera,Agua potable y Saneamiento básico,ACACÍAS,2755320611.0
Tercera,Agua potable y Saneamiento básico,APARTADÓ,3501386130.0
Tercera,Agua potable y Saneamiento básico,ARMENIA,14089714141.0
Tercera,Agua potable y Saneamiento básico,CALDAS,209085925.0
Tercera,Agua potable y Saneamiento básico,CANDELARIA,6262327413.0
Tercera,Agua potable y Saneamiento básico,COPACABANA,354312491.0
Tercera,Agua potable y Saneamiento básico,COTA,25204348583.0
Tercera,Agua potable y Saneamiento básico,DUITAMA,2323660891.0
Tercera,Agua potable y Saneamiento básico,ESPINAL,3074513547.0
Tercera,Agua potable y Saneamiento básico,GIRARDOTA,605109899.0
Tercera,Agua potable y Saneamiento básico,GUARNE,7824121428.0
Tercera,Agua potable y Saneamiento básico,LA CEJA,2344205013.0
Tercera,Agua potable y Saneamiento básico,POPAYÁN,13824711901.0
Tercera,Agua potable y Saneamiento básico,RICAURTE,4461829174.0
Tercera,Agua potable y Saneamiento básico,SINCELEJO,10379686580.0
Tercera,Agua potable y Saneamiento básico,SOPÓ,1275749750.0
Tercera,Agua potable y Saneamiento básico,TENJO,1742506453.0
Tercera,Agua potable y Saneamiento básico,YOPAL,3814487435.0
Tercera,Atención a desastres,ACACÍAS,3326348101.0
Tercera,Atención a desastres,APARTADÓ,485341500.0
Tercera,Atención a desastres,CALDAS,282240065.0
Tercera,Atención a desastres,CANDELARIA,1705776771.0
Tercera,Atención a desastres,COPACABANA,4623851322.0
Tercera,Atención a desastres,COTA,959803876.0
Tercera,Atención a desastres,DUITAMA,1115691680.0
Tercera,Atención a desastres,ESPINAL,702245404.0
Tercera,Atención a desastres,GIRARDOTA,283378251.0
Tercera,Atención a desastres,GUARNE,95487282.0
Tercera,Atención a desastres,LA CEJA,357333740.0
